| Year 1, Spring, day 0 8:00:00 AM | forest | Kieth Suggs began their journey into the Cataclysm.
| Year 1, Spring, day 0 8:03:01 PM | farm house | Threw up.
| Year 1, Spring, day 0 8:03:18 PM | farm house | Threw up.
| Year 1, Spring, day 0 8:03:54 PM | farm house | Threw up.
| Year 1, Spring, day 0 8:05:01 PM | farm house | Threw up.
| Year 1, Spring, day 0 8:07:26 PM | farm house | Threw up.
| Year 1, Spring, day 0 8:07:44 PM | farm house | Threw up.
| Year 1, Spring, day 0 8:07:55 PM | farm house | Threw up.
| Year 1, Spring, day 1 8:00:00 AM | farm house 2nd floor | Caught a cold.
| Year 1, Spring, day 1 3:23:39 PM | green house | Threw up.
| Year 1, Spring, day 1 3:24:29 PM | chicken coop | Threw up.
| Year 1, Spring, day 1 3:25:47 PM | farm field | Threw up.
| Year 1, Spring, day 1 3:25:57 PM | farm field | Threw up.
| Year 1, Spring, day 1 3:28:02 PM | horse stable | Threw up.
| Year 1, Spring, day 1 3:28:27 PM | horse stable | Threw up.
| Year 1, Spring, day 10 10:10:40AM | road | Killed a prototype robot.
| Year 1, Spring, day 12 2:43:56 AM | evac shelter | Got over the cold.
| Year 1, Spring, day 12 4:20:38 PM | house | Received a deep bite wound.
| Year 1, Spring, day 12 4:30:42 PM | house | Recovered from a bite wound.
| Year 1, Spring, day 18 8:27:29 PM | road | Threw up.
| Year 1, Spring, day 18 8:27:36 PM | road | Threw up.
| Year 1, Spring, day 18 8:28:34 PM | doctor's office | Threw up.
| Year 1, Spring, day 18 8:29:55 PM | doctor's office | Threw up.
| Year 1, Spring, day 18 8:33:21 PM | doctor's office | Set off an alarm.
| Year 1, Spring, day 20 5:24:49 PM | house | Reached skill level 4 in first aid.
| Year 1, Spring, day 22 11:02:52AM | house | Received a deep bite wound.
| Year 1, Spring, day 22 11:08:16AM | house | Recovered from a bite wound.
| Year 1, Spring, day 23 5:59:54 PM | doctor's office | Failed install of bionic: Power Storage.
| Year 1, Spring, day 23 6:49:55 PM | doctor's office | Installed bionic: Air Filtration System.
| Year 1, Spring, day 24 1:38:39 PM | field | Killed a feral predator.
| Year 1, Spring, day 25 3:59:26 AM | gun store 2nd floor | Set off an alarm.
| Year 1, Spring, day 25 3:59:36 AM | gun store 2nd floor | Set off an alarm.
| Year 1, Spring, day 25 8:07:38 AM | road | Killed a zombie bio-operator.
| Year 1, Spring, day 25 8:07:48 AM | road | Fell off a mount.
| Year 1, Spring, day 25 8:08:19 AM | road | Killed a zombie bio-operator.
| Year 1, Spring, day 27 7:15:24 AM | house | Worn <color_c_dark_gray>XX </color>leather pants was completely destroyed.
| Year 1, Spring, day 30 3:43:28 AM | public garden | Worn <color_c_dark_gray>XX </color>rain coat was completely destroyed.
| Year 1, Spring, day 30 3:43:31 AM | public garden | Killed a feral predator.
| Year 1, Spring, day 30 6:22:50 AM | doctor's office | Set off an alarm.
| Year 1, Spring, day 30 8:50:08 AM | small dump | Killed a feral predator.
| Year 1, Spring, day 32 9:10:26 AM | radio station | Set off an alarm.
| Year 1, Spring, day 32 9:11:33 AM | radio station | Set off an alarm.
| Year 1, Spring, day 32 2:29:36 PM | field | Killed a shocker brute.
| Year 1, Spring, day 33 7:29:21 AM | mine entrance | Set off an alarm.
| Year 1, Spring, day 34 7:25:27 AM | field | Reached skill level 4 in cooking.
