| Year 1, Spring, day 0 8:00:00 AM | science lab | Val Herbert began their journey into the Cataclysm.
| Year 1, Spring, day 0 8:04:13 AM | science lab | Worn <color_c_dark_gray>XX </color>dress shirt was completely destroyed.
| Year 1, Spring, day 0 4:00:14 PM | science lab | Worn <color_c_dark_gray>XX </color>lab coat was completely destroyed.
| Year 1, Spring, day 0 4:21:15 PM | science lab | Worn <color_c_dark_gray>XX </color>pants was completely destroyed.
| Year 1, Spring, day 1 5:57:16 PM | basement | Worn <color_c_dark_gray>XX </color>lab coat was completely destroyed.
| Year 1, Spring, day 1 6:34:56 PM | basement | Received a deep bite wound.
| Year 1, Spring, day 1 6:35:09 PM | basement | Recovered from a bite wound.
| Year 1, Spring, day 2 12:36:10PM | science lab | Stepped into a dissector.
| Year 1, Spring, day 5 12:58:57AM | forest | Worn <color_c_dark_gray>XX </color>lab coat was completely destroyed.
| Year 1, Spring, day 5 4:44:29 AM | road | Received a deep bite wound.
| Year 1, Spring, day 5 6:54:28 AM | road | Recovered from a bite wound.
| Year 1, Spring, day 9 12:13:48PM | science lab | Reached skill level 4 in tailoring.
| Year 1, Spring, day 9 11:54:11PM | science lab | Threw up.
| Year 1, Spring, day 9 11:55:24PM | science lab | Threw up.
| Year 1, Spring, day 9 11:56:09PM | science lab | Threw up.
| Year 1, Spring, day 9 11:58:33PM | science lab | Threw up.
| Year 1, Spring, day 13 1:39:31 AM | science lab | Reached skill level 8 in cooking.
| Year 1, Spring, day 13 10:00:18AM | house | Received a deep bite wound.
| Year 1, Spring, day 13 1:44:47 PM | science lab | Recovered from a bite wound.
| Year 1, Spring, day 14 1:25:58 PM | science lab | Reached skill level 4 in mechanics.
| Year 1, Spring, day 16 1:24:03 AM | science lab | Injected mutagen.
| Year 1, Spring, day 16 1:24:03 AM | science lab | Gained the mutation 'Ugly'.
| Year 1, Spring, day 16 1:24:03 AM | science lab | Gained the mutation 'Fast Healer'.
| Year 1, Spring, day 18 9:56:08 AM | science lab | Injected mutagen.
| Year 1, Spring, day 18 9:56:08 AM | science lab | Gained the mutation 'Strong'.
| Year 1, Spring, day 18 9:56:08 AM | science lab | 'Ugly' mutation turned into 'Deformed'
| Year 1, Spring, day 18 12:28:35PM | science lab | Reached skill level 4 in first aid.
| Year 1, Spring, day 18 12:28:36PM | science lab | Injected mutagen.
| Year 1, Spring, day 18 12:28:36PM | science lab | Gained the mutation 'Leaves'.
| Year 1, Spring, day 18 12:28:36PM | science lab | Gained the mutation 'Heat Dependent'.
| Year 1, Spring, day 18 12:28:36PM | science lab | 'Strong' mutation turned into 'Very Strong'
| Year 1, Spring, day 18 4:20:12 PM | science lab | Injected mutagen.
| Year 1, Spring, day 18 4:20:12 PM | science lab | 'Heat Dependent' mutation turned into 'Very Heat Dependent'
| Year 1, Spring, day 18 4:20:12 PM | science lab | Gained the mutation 'Hair Roots'.
| Year 1, Spring, day 18 4:20:12 PM | science lab | Became addicted to mutation.
| Year 1, Spring, day 18 6:05:25 PM | science lab | Injected mutagen.
| Year 1, Spring, day 18 6:05:25 PM | science lab | 'Very Heat Dependent' mutation turned into 'Cold Blooded'
| Year 1, Spring, day 19 3:23:48 AM | science lab | Injected mutagen.
| Year 1, Spring, day 19 3:23:48 AM | science lab | Bloomed forth.
| Year 1, Spring, day 19 3:23:48 AM | science lab | Gained the mutation 'Flowering'.
| Year 1, Spring, day 19 3:23:48 AM | science lab | 'Phelloderm' mutation turned into 'Bark'
| Year 1, Spring, day 19 3:23:48 AM | science lab | Gained the mutation 'Vines'.
| Year 1, Spring, day 19 4:29:09 AM | science lab | Injected mutagen.
| Year 1, Spring, day 19 4:29:09 AM | science lab | Gained the mutation 'Mycorrhizal Communion'.
| Year 1, Spring, day 19 4:29:09 AM | science lab | Gained the mutation 'Thorns'.
| Year 1, Spring, day 19 4:29:09 AM | science lab | Gained the mutation 'Transpiration'.
| Year 1, Spring, day 19 8:34:17 AM | science lab | Injected mutagen.
| Year 1, Spring, day 19 8:34:17 AM | science lab | Gained the mutation 'Toe Roots'.
| Year 1, Spring, day 19 8:34:17 AM | science lab | 'Leaves' mutation turned into 'Lush Leaves'
